Date,Actual Closing Price,Forecast Closing Price
2000-11-29,2533,2906
2000-11-30,2231,2586
2000-12-01,1964,2305
2000-12-04,2008,2058
2000-12-05,1885,2099
2000-12-06,1662,1985
2000-12-07,1679,1780
2000-12-08,1618,1796
2000-12-11,1577,1740
2000-12-12,1618,1702
2000-12-13,1538,1740
2000-12-14,1502,1666
2000-12-15,1502,1633
2000-12-18,1538,1633
2000-12-19,1360,1666
2000-12-20,1200,1503
2000-12-21,1174,1357
2000-12-22,1156,1334
2000-12-26,1169,1317
2001-01-02,1191,1329
2001-01-03,1160,1349
2001-01-04,1218,1321
2001-01-05,1231,1374
2001-01-08,1334,1386
2001-01-09,1462,1480
2001-01-10,1289,1597
2001-01-11,1369,1439
2001-01-12,1422,1512
2001-01-15,1591,1560
2001-01-16,1502,1715
2001-01-17,1614,1633
2001-01-18,1520,1736
2001-01-19,1556,1650
2001-01-22,1568,1683
2001-01-26,1573,1694
2001-01-29,1760,1698
2001-01-30,1964,1870
2001-01-31,1964,2058
2001-02-01,1822,2058
2001-02-02,1822,1927
2001-02-05,1733,1927
2001-02-06,1725,1845
2001-02-07,1778,1838
2001-02-08,1787,1887
2001-02-09,1822,1895
2001-02-12,2000,1927
2001-02-13,1955,2092
2001-02-14,1978,2050
2001-02-15,1964,2071
2001-02-16,2200,2058
2001-02-19,2218,2277
2001-02-20,2204,2293
2001-02-21,2186,2280
2001-02-22,2000,2264
2001-02-23,2008,2092
2001-02-26,2075,2099
2001-02-27,1987,2161
2001-02-28,1867,2079
2001-03-02,1671,1969
2001-03-05,1778,1788
2001-03-06,1733,1887
2001-03-07,1729,1845
2001-03-08,1813,1842
2001-03-09,1827,1919
2001-03-12,1609,1932
2001-03-13,1515,1731
2001-03-14,1591,1645
2001-03-15,1618,1715
2001-03-16,1582,1740
2001-03-19,1586,1707
2001-03-20,1573,1710
2001-03-21,1582,1698
2001-03-22,1577,1707
2001-03-23,1582,1702
2001-03-26,1586,1707
2001-03-27,1667,1710
2001-03-28,1618,1785
2001-03-29,1582,1740
2001-03-30,1542,1707
2001-04-02,1538,1670
2001-04-03,1475,1666
2001-04-04,1445,1609
2001-04-06,1475,1581
2001-04-09,1422,1609
2001-04-10,1445,1560
2001-04-11,1573,1581
2001-04-12,1568,1698
2001-04-13,1623,1694
2001-04-16,1609,1744
2001-04-17,1653,1731
2001-04-18,1689,1772
2001-04-19,1644,1805
2001-04-20,1658,1764
2001-04-23,1733,1776
2001-04-24,1698,1845
2001-04-25,1716,1813
2001-04-26,1635,1830
2001-04-27,1596,1755
2001-04-30,1679,1719
2001-05-02,1778,1796
2001-05-03,1760,1887
2001-05-04,1764,1870
2001-05-07,1876,1874
2001-05-08,1911,1977
2001-05-09,1840,2009
2001-05-10,1836,1944
2001-05-11,1848,1940
2001-05-14,1911,1951
2001-05-15,1933,2009
2001-05-16,1947,2030
2001-05-17,2005,2043
2001-05-18,1942,2096
2001-05-21,2054,2038
2001-05-22,1964,2141
2001-05-23,1906,2058
2001-05-24,1889,2005
2001-05-25,1973,1989
2001-05-28,1942,2067
2001-05-29,2008,2038
2001-05-30,2008,2099
2001-05-31,1929,2099
2001-06-01,1848,2026
2001-06-04,1813,1951
2001-06-05,1822,1919
2001-06-07,1751,1927
2001-06-08,1867,1862
2001-06-11,1857,1969
2001-06-12,1857,1960
2001-06-13,1933,1960
2001-06-14,1964,2030
2001-06-15,1933,2058
2001-06-18,1894,2030
2001-06-19,1876,1994
2001-06-20,1857,1977
2001-06-21,1840,1960
2001-06-22,1862,1944
2001-06-25,1848,1964
2001-06-26,1813,1951
2001-06-27,1813,1919
2001-06-28,1804,1919
2001-06-29,1831,1911
2001-07-02,1889,1936
2001-07-03,1902,1989
2001-07-04,1902,2001
2001-07-05,1942,2001
2001-07-06,1867,2038
2001-07-09,1822,1969
2001-07-10,1800,1927
2001-07-11,1769,1907
2001-07-12,1857,1878
2001-07-13,1898,1960
2001-07-16,1924,1997
2001-07-18,1804,2021
2001-07-19,1822,1911
2001-07-20,1760,1927
2001-07-23,1679,1870
2001-07-24,1698,1796
2001-07-25,1658,1813
2001-07-26,1689,1776
2001-07-27,1707,1805
2001-07-30,1662,1821
2001-07-31,1693,1780
2001-08-01,1751,1809
2001-08-02,1725,1862
2001-08-03,1729,1838
2001-08-06,1716,1842
2001-08-07,1725,1830
2001-08-08,1711,1838
2001-08-09,1671,1825
2001-08-10,1679,1788
2001-08-13,1658,1796
2001-08-14,1662,1776
2001-08-16,1662,1780
2001-08-17,1667,1780
2001-08-20,1689,1785
2001-08-21,1676,1805
2001-08-22,1676,1793
2001-08-23,1653,1793
2001-08-24,1679,1772
2001-08-27,1662,1796
2001-08-28,1667,1780
2001-08-29,1591,1785
2001-08-30,1542,1715
2001-08-31,1449,1670
2001-09-03,1396,1585
2001-09-04,1413,1536
2001-09-05,1400,1552
2001-09-06,1458,1540
2001-09-07,1458,1593
2001-09-10,1440,1593
2001-09-11,1422,1577
2001-09-12,1253,1560
2001-09-13,1343,1406
2001-09-14,1311,1488
2001-09-17,1200,1459
2001-09-18,1280,1357
2001-09-19,1334,1430
2001-09-20,1253,1480
2001-09-21,1244,1406
2001-09-24,1267,1398
2001-09-25,1200,1418
2001-09-26,1218,1357
2001-09-27,1240,1374
2001-09-28,1334,1394
2001-10-04,1378,1480
2001-10-05,1373,1520
2001-10-08,1373,1515
2001-10-09,1404,1515
2001-10-10,1373,1544
2001-10-11,1387,1515
2001-10-12,1396,1528
2001-10-15,1378,1536
2001-10-16,1369,1520
2001-10-17,1364,1512
2001-10-18,1334,1507
2001-10-19,1351,1480
2001-10-22,1369,1495
2001-10-23,1360,1512
2001-10-24,1431,1503
2001-10-25,1387,1568
2001-10-26,1378,1528
2001-10-29,1343,1520
2001-10-30,1306,1488
2001-10-31,1334,1454
2001-11-01,1351,1480
2001-11-02,1347,1495
2001-11-05,1355,1492
2001-11-06,1391,1499
2001-11-07,1364,1532
2001-11-08,1391,1507
2001-11-09,1466,1532
2001-11-12,1489,1600
2001-11-13,1502,1621
2001-11-14,1529,1633
2001-11-15,1515,1658
2001-11-16,1520,1645
2001-11-19,1547,1650
2001-11-20,1556,1675
2001-11-21,1533,1683
2001-11-22,1560,1662
2001-11-23,1614,1686
2001-11-26,1671,1736
2001-11-27,1600,1788
2001-11-28,1556,1723
2001-11-29,1547,1683
2001-11-30,1582,1675
2001-12-03,1582,1707
2001-12-04,1631,1707
2001-12-05,1671,1752
2001-12-06,1600,1788
2001-12-07,1600,1723
2001-12-10,1524,1723
2001-12-11,1524,1653
2001-12-12,1542,1653
2001-12-13,1547,1670
2001-12-14,1547,1675
2001-12-17,1502,1675
2001-12-18,1507,1633
2001-12-19,1480,1638
2001-12-20,1502,1613
2001-12-21,1462,1633
2001-12-24,1466,1597
2001-12-26,1520,1600
2001-12-27,1520,1650
2001-12-28,1600,1650
2002-01-02,1582,1723
2002-01-03,1582,1707
2002-01-04,1551,1707
2002-01-07,1556,1678
2002-01-08,1547,1683
2002-01-09,1520,1675
2002-01-10,1582,1650
2002-01-11,1582,1707
2002-01-14,1565,1707
2002-01-15,1565,1691
2002-01-16,1586,1691
2002-01-17,1573,1710
2002-01-18,1556,1698
2002-01-21,1556,1683
2002-01-22,1573,1683
2002-01-23,1582,1698
2002-01-24,1600,1707
2002-01-25,1658,1723
2002-01-28,1742,1776
2002-01-29,1707,1854
2002-01-30,1626,1821
2002-01-31,1635,1747
2002-02-01,1609,1755
2002-02-04,1600,1731
2002-02-05,1618,1723
2002-02-06,1591,1740
2002-02-07,1520,1715
2002-02-08,1524,1650
2002-02-14,1565,1653
2002-02-15,1542,1691
2002-02-18,1551,1670
2002-02-19,1529,1678
2002-02-20,1502,1658
2002-02-21,1507,1633
2002-02-22,1538,1638
2002-02-25,1573,1666
2002-02-26,1618,1698
2002-02-27,1618,1740
2002-02-28,1671,1740
2002-03-04,1737,1788
2002-03-05,1827,1849
2002-03-06,1822,1932
2002-03-07,1840,1927
2002-03-08,1857,1944
2002-03-11,1885,1960
2002-03-12,2000,1985
2002-03-13,2107,2092
2002-03-14,2177,2190
2002-03-15,2436,2255
2002-03-18,2551,2496
2002-03-19,2559,2603
2002-03-20,2489,2610
2002-03-21,2400,2545
2002-03-22,2489,2462
2002-03-25,2391,2545
2002-03-26,2373,2454
2002-03-27,2485,2437
2002-03-28,2453,2541
2002-03-29,2445,2511
2002-04-01,2378,2504
2002-04-02,2400,2442
2002-04-03,2427,2462
2002-04-04,2457,2487
2002-04-08,2569,2515
2002-04-09,2445,2619
2002-04-10,2231,2504
2002-04-11,2258,2305
2002-04-12,2177,2330
2002-04-15,2186,2255
2002-04-16,2244,2264
2002-04-17,2284,2317
2002-04-18,2267,2354
2002-04-19,2177,2339
2002-04-22,2133,2255
2002-04-23,2084,2215
2002-04-24,2063,2169
2002-04-25,1982,2150
2002-04-26,2026,2075
2002-04-29,1991,2116
2002-04-30,1920,2083
2002-05-02,1982,2018
2002-05-03,2000,2075
2002-05-06,1991,2092
2002-05-07,2013,2083
2002-05-08,2089,2104
2002-05-09,2080,2174
2002-05-10,2017,2165
2002-05-13,2026,2107
2002-05-14,2026,2116
2002-05-15,2022,2116
2002-05-16,1982,2112
2002-05-17,2035,2075
2002-05-20,1991,2124
2002-05-21,1902,2083
2002-05-22,1885,2001
2002-05-23,1857,1985
2002-05-24,1902,1960
2002-05-27,1885,2001
2002-05-28,1876,1985
2002-05-29,1813,1977
2002-05-30,1795,1919
2002-05-31,1795,1902
2002-06-03,1813,1902
2002-06-04,1822,1919
2002-06-05,1857,1927
2002-06-07,1778,1960
2002-06-10,1876,1887
2002-06-11,1840,1977
2002-06-12,1911,1944
2002-06-14,1915,2009
2002-06-17,1933,2013
2002-06-18,1876,2030
2002-06-19,1774,1977
2002-06-20,1778,1883
2002-06-21,1778,1887
2002-06-24,1698,1887
2002-06-25,1733,1813
2002-06-26,1551,1845
2002-06-27,1623,1678
2002-06-28,1684,1744
2002-07-02,1684,1800
2002-07-03,1644,1800
2002-07-04,1679,1764
2002-07-05,1716,1796
2002-07-08,1711,1830
2002-07-09,1711,1825
2002-07-10,1725,1825
2002-07-11,1707,1838
2002-07-12,1733,1821
2002-07-15,1725,1845
2002-07-16,1698,1838
2002-07-18,1689,1813
2002-07-19,1671,1805
2002-07-22,1577,1788
2002-07-23,1600,1702
2002-07-24,1582,1723
2002-07-25,1547,1707
2002-07-26,1547,1675
2002-07-29,1547,1675
2002-07-30,1556,1675
2002-07-31,1560,1683
2002-08-01,1573,1686
2002-08-02,1565,1698
2002-08-05,1520,1691
2002-08-06,1466,1650
2002-08-07,1431,1600
2002-08-08,1427,1568
2002-08-09,1458,1565
2002-08-12,1449,1593
2002-08-13,1484,1585
2002-08-14,1475,1617
2002-08-16,1493,1609
2002-08-19,1520,1625
2002-08-20,1542,1650
2002-08-21,1529,1670
2002-08-22,1529,1658
2002-08-23,1529,1658
2002-08-26,1520,1658
2002-08-27,1556,1650
2002-08-28,1542,1683
2002-08-29,1542,1670
2002-08-30,1538,1670
2002-09-02,1529,1666
2002-09-03,1512,1658
2002-09-04,1458,1642
2002-09-05,1458,1593
2002-09-06,1431,1593
2002-09-09,1422,1568
2002-09-10,1440,1560
2002-09-11,1449,1577
2002-09-12,1440,1585
2002-09-13,1431,1577
2002-09-16,1431,1568
2002-09-17,1502,1568
2002-09-18,1502,1633
2002-09-19,1520,1633
2002-09-23,1462,1650
2002-09-24,1404,1597
2002-09-25,1396,1544
2002-09-26,1387,1536
2002-09-27,1378,1528
2002-09-30,1334,1520
2002-10-01,1334,1480
2002-10-02,1343,1480
2002-10-04,1418,1488
2002-10-07,1400,1556
2002-10-08,1387,1540
2002-10-09,1355,1528
2002-10-10,1320,1499
2002-10-11,1334,1467
2002-10-14,1360,1480
2002-10-15,1369,1503
2002-10-16,1413,1512
2002-10-17,1427,1552
2002-10-18,1512,1565
2002-10-21,1475,1642
2002-10-22,1408,1609
2002-10-23,1480,1547
2002-10-24,1462,1613
2002-10-25,1454,1597
2002-10-28,1466,1589
2002-10-29,1436,1600
2002-10-30,1440,1573
2002-10-31,1431,1577
2002-11-01,1408,1568
2002-11-04,1418,1547
2002-11-05,1440,1556
2002-11-06,1431,1577
2002-11-07,1440,1568
2002-11-08,1408,1577
2002-11-11,1418,1547
2002-11-12,1369,1556
2002-11-13,1378,1512
2002-11-14,1369,1520
2002-11-15,1378,1512
2002-11-18,1369,1520
2002-11-19,1369,1512
2002-11-20,1369,1512
2002-11-21,1387,1512
2002-11-22,1400,1528
2002-11-25,1400,1540
2002-11-26,1378,1540
2002-11-27,1400,1520
2002-11-28,1466,1540
2002-11-29,1484,1600
2002-12-02,1556,1617
2002-12-03,1547,1683
2002-12-04,1466,1675
2002-12-05,1484,1600
2002-12-06,1480,1617
2002-12-09,1512,1613
2002-12-10,1484,1642
2002-12-11,1466,1617
2002-12-12,1475,1600
2002-12-13,1560,1609
2002-12-16,1515,1686
2002-12-17,1529,1645
2002-12-18,1520,1658
2002-12-20,1484,1650
2002-12-23,1436,1617
2002-12-24,1422,1573
2002-12-26,1396,1560
2002-12-27,1387,1536
2002-12-30,1311,1528
2003-01-02,1343,1459
2003-01-03,1360,1488
2003-01-06,1360,1503
2003-01-07,1360,1503
2003-01-08,1360,1503
2003-01-09,1324,1503
2003-01-10,1324,1471
2003-01-13,1343,1471
2003-01-14,1343,1488
2003-01-15,1343,1488
2003-01-16,1351,1488
2003-01-17,1347,1495
2003-01-20,1320,1492
2003-01-21,1258,1467
2003-01-22,1218,1410
2003-01-23,1191,1374
2003-01-24,1200,1349
2003-01-27,1213,1357
2003-01-28,1200,1369
2003-01-29,1200,1357
2003-01-30,1200,1357
2003-02-03,1169,1357
2003-02-04,1191,1329
2003-02-05,1174,1349
2003-02-06,1156,1334
2003-02-07,1146,1317
2003-02-10,1111,1308
2003-02-11,1111,1276
2003-02-12,1137,1276
2003-02-13,1137,1300
2003-02-14,1120,1300
2003-02-17,1165,1285
2003-02-18,1156,1326
2003-02-19,1156,1317
2003-02-20,1156,1317
2003-02-21,1137,1317
2003-02-24,1146,1300
2003-02-25,1128,1308
2003-02-26,1128,1292
2003-02-27,1111,1292
2003-02-28,1102,1276
2003-03-03,1111,1268
2003-03-04,1102,1276
2003-03-05,1058,1268
2003-03-06,1022,1228
2003-03-07,996,1196
2003-03-10,915,1172
2003-03-11,857,1098
2003-03-12,866,1046
2003-03-13,847,1054
2003-03-14,889,1037
2003-03-17,862,1075
2003-03-18,898,1050
2003-03-19,898,1083
2003-03-20,951,1083
2003-03-21,960,1131
2003-03-24,1000,1139
2003-03-25,951,1176
2003-03-26,951,1131
2003-03-27,942,1131
2003-03-28,964,1123
2003-03-31,924,1143
2003-04-01,942,1107
2003-04-02,929,1123
2003-04-03,933,1111
2003-04-04,942,1115
2003-04-07,987,1123
2003-04-08,996,1164
2003-04-09,978,1172
2003-04-10,978,1156
2003-04-11,996,1156
2003-04-14,1000,1172
