Date,Actual Closing Price,Forecast Closing Price
1999-12-16,31707,36892
1999-12-17,29290,37134
1999-12-20,29290,35121
1999-12-21,28710,35121
1999-12-22,28710,34639
1999-12-23,28227,34639
1999-12-24,28227,34240
1999-12-27,28227,34240
1999-12-28,28710,34240
2000-01-04,28227,34639
2000-01-05,27985,34240
2000-01-06,27743,34039
2000-01-07,27743,33839
2000-01-10,31803,33839
2000-01-11,27840,37214
2000-01-12,31803,33920
2000-01-13,27163,37214
2000-01-14,23103,33361
2000-01-17,23828,30040
2000-01-18,23200,30629
2000-01-19,21557,30119
2000-01-20,21267,28792
2000-01-21,21943,28558
2000-01-24,23490,29103
2000-01-25,23877,30355
2000-01-26,24070,30669
2000-01-27,23973,30826
2000-01-28,24118,30747
2000-01-31,23538,30865
2000-02-01,24070,30393
2000-02-02,25423,30826
2000-02-03,25858,31931
2000-02-07,26293,32288
2000-02-08,25617,32645
2000-02-09,26342,32090
2000-02-10,26438,32685
2000-02-11,26438,32764
2000-02-14,25472,32764
2000-02-15,26052,31971
2000-02-16,25133,32447
2000-02-17,26003,31694
2000-02-18,26487,32407
2000-02-21,25907,32804
2000-02-22,25617,32328
2000-02-23,27453,32090
2000-02-24,27357,33600
2000-02-25,28178,33521
2000-02-28,27115,34199
2000-02-29,27598,33321
2000-03-02,27888,33720
2000-03-03,26970,33959
2000-03-06,27115,33202
2000-03-07,27308,33321
2000-03-08,27840,33480
2000-03-09,27937,33920
2000-03-10,27115,34000
2000-03-13,26583,33321
2000-03-14,27018,32883
2000-03-15,26970,33241
2000-03-16,26390,33202
2000-03-17,26438,32724
2000-03-20,26583,32764
2000-03-21,26873,32883
2000-03-22,27067,33122
2000-03-23,27067,33282
2000-03-24,27453,33282
2000-03-27,27937,33600
2000-03-28,30837,34000
2000-03-29,27067,36408
2000-03-30,27357,33282
2000-03-31,29387,33521
2000-04-03,27067,35201
2000-04-04,26680,33282
2000-04-06,26197,32963
2000-04-07,26390,32566
2000-04-10,26293,32724
2000-04-11,26583,32645
2000-04-12,27067,32883
2000-04-14,26052,33282
2000-04-17,23490,32447
2000-04-18,25085,30355
2000-04-19,24843,31654
2000-04-20,24553,31457
2000-04-21,25037,31220
2000-04-24,24408,31615
2000-04-25,24022,31102
2000-04-26,23683,30787
2000-04-27,23587,30511
2000-04-28,24457,30433
2000-05-02,24360,31142
2000-05-03,24022,31062
2000-05-04,24263,30787
2000-05-08,24553,30983
2000-05-09,24167,31220
2000-05-10,23828,30905
2000-05-12,23780,30629
2000-05-15,23297,30590
2000-05-16,22813,30198
2000-05-17,23248,29805
2000-05-18,22620,30158
2000-05-19,22717,29649
