Date,Actual Closing Price,Forecast Closing Price
2003-07-22,6400,8727
2003-07-23,6190,8745
2003-07-24,6240,8560
2003-07-25,7030,8604
2003-07-28,7050,9299
2003-07-29,7150,9317
2003-07-30,7170,9405
2003-07-31,7090,9422
2003-08-01,7080,9352
2003-08-04,6950,9343
2003-08-05,6840,9228
2003-08-06,6620,9132
2003-08-07,6530,8938
2003-08-08,6560,8859
2003-08-11,6610,8885
2003-08-12,6590,8929
2003-08-13,6660,8912
2003-08-14,6780,8973
2003-08-18,6850,9079
2003-08-19,6790,9140
2003-08-20,6600,9087
2003-08-21,7050,8920
2003-08-22,6900,9317
2003-08-25,6890,9184
2003-08-26,6670,9176
2003-08-27,6700,8982
2003-08-28,6750,9008
2003-08-29,6760,9052
2003-09-01,6740,9061
2003-09-02,6830,9043
2003-09-03,6810,9123
2003-09-04,7000,9105
2003-09-05,6790,9272
2003-09-08,6530,9087
2003-09-09,6560,8859
2003-09-15,6540,8885
2003-09-16,6620,8868
2003-09-17,6520,8938
2003-09-18,6450,8850
2003-09-19,6300,8789
2003-09-22,5860,8657
2003-09-23,5710,8271
2003-09-24,5850,8140
2003-09-25,5690,8262
2003-09-26,5560,8123
2003-09-29,5530,8009
2003-09-30,5500,7983
2003-10-01,5280,7957
2003-10-02,5100,7765
2003-10-06,5170,7608
2003-10-07,5070,7669
2003-10-08,5000,7582
2003-10-09,4990,7521
2003-10-10,5400,7512
2003-10-13,5500,7869
2003-10-14,5530,7957
2003-10-15,5520,7983
2003-10-16,5500,7974
2003-10-17,5300,7957
2003-10-20,5300,7782
2003-10-21,5280,7782
2003-10-22,5110,7765
2003-10-23,5000,7616
2003-10-24,5060,7521
2003-10-27,5260,7573
2003-10-28,5260,7747
2003-10-29,5130,7747
2003-10-30,5210,7634
2003-10-31,5130,7704
2003-11-03,5130,7634
2003-11-04,5300,7634
2003-11-05,5470,7782
2003-11-06,5510,7930
2003-11-07,5740,7965
2003-11-10,5650,8166
2003-11-11,5400,8088
2003-11-12,5400,7869
2003-11-13,5480,7869
2003-11-14,5610,7939
2003-11-17,5800,8053
2003-11-18,5870,8219
2003-11-19,5770,8280
2003-11-20,5800,8193
2003-11-21,5580,8219
2003-11-24,5160,8026
2003-11-25,5320,7660
2003-11-26,5360,7799
2003-11-27,5300,7834
2003-11-28,5380,7782
2003-12-01,5660,7852
2003-12-02,5670,8096
2003-12-03,5630,8105
2003-12-04,5700,8070
2003-12-05,5720,8131
2003-12-08,5590,8149
2003-12-09,5630,8035
2003-12-10,5750,8070
2003-12-11,5770,8175
2003-12-12,5830,8193
2003-12-15,5960,8245
2003-12-16,5830,8359
2003-12-17,5680,8245
2003-12-18,5760,8114
2003-12-19,5810,8184
2003-12-22,5620,8227
2003-12-23,5660,8061
2003-12-24,5500,8096
2003-12-26,5500,7957
2003-12-29,5610,7957
2003-12-30,5690,8053
2004-01-02,5880,8123
2004-01-05,5920,8289
2004-01-06,5900,8324
2004-01-07,5720,8306
2004-01-08,5540,8149
2004-01-09,5870,7991
2004-01-12,6110,8280
2004-01-13,6030,8490
2004-01-14,5930,8420
2004-01-15,5960,8333
2004-01-16,5880,8359
2004-01-19,5900,8289
2004-01-20,6050,8306
2004-01-26,6050,8438
2004-01-27,5840,8438
2004-01-28,5700,8254
2004-01-29,5530,8131
2004-01-30,5320,7983
2004-02-02,5350,7799
2004-02-03,5250,7826
2004-02-04,5130,7738
2004-02-05,5180,7634
2004-02-06,5200,7677
2004-02-09,5160,7695
2004-02-10,5170,7660
2004-02-11,5450,7669
2004-02-12,6260,7913
2004-02-13,6900,8622
2004-02-16,6910,9184
2004-02-17,6590,9193
2004-02-18,6610,8912
2004-02-19,6550,8929
2004-02-20,6850,8876
2004-02-23,7200,9140
2004-02-24,7010,9449
2004-02-25,6900,9281
2004-02-26,6600,9184
2004-02-27,6590,8920
2004-03-02,6850,8912
2004-03-03,6670,9140
2004-03-04,6870,8982
2004-03-05,6740,9158
2004-03-08,6640,9043
2004-03-09,6580,8956
2004-03-10,6470,8903
2004-03-11,6290,8806
2004-03-12,5810,8648
2004-03-15,6040,8227
2004-03-16,5900,8429
2004-03-17,6180,8306
2004-03-18,6130,8552
2004-03-19,6160,8508
2004-03-22,6000,8534
2004-03-23,6100,8394
2004-03-24,6000,8481
2004-03-25,5800,8394
2004-03-26,5830,8219
2004-03-29,5950,8245
2004-03-30,5850,8350
2004-03-31,5880,8262
2004-04-01,5850,8289
2004-04-02,5940,8262
2004-04-06,6100,8341
2004-04-07,6630,8481
2004-04-08,6500,8947
2004-04-09,6280,8832
2004-04-12,6390,8639
2004-04-13,6310,8736
2004-04-14,6170,8666
2004-04-16,6110,8543
2004-04-19,6090,8490
2004-04-20,6200,8473
2004-04-21,6150,8569
2004-04-22,6470,8525
2004-04-23,7000,8806
2004-04-26,6900,9272
2004-04-27,6670,9184
2004-04-28,6570,8982
2004-04-29,6430,8894
2004-04-30,6500,8771
2004-05-03,6630,8832
2004-05-04,6600,8947
2004-05-06,6200,8920
2004-05-07,6050,8569
2004-05-10,5740,8438
2004-05-11,5750,8166
2004-05-12,5970,8175
2004-05-13,5960,8368
2004-05-14,5990,8359
2004-05-17,5850,8385
2004-05-18,5700,8262
2004-05-19,5960,8131
2004-05-20,5800,8359
2004-05-21,5970,8219
2004-05-24,6110,8368
2004-05-25,6030,8490
2004-05-27,6140,8420
2004-05-28,5870,8517
2004-05-31,5830,8280
2004-06-01,5920,8245
2004-06-02,6000,8324
2004-06-03,5840,8394
2004-06-04,5860,8254
2004-06-07,6350,8271
2004-06-08,6330,8701
2004-06-09,6270,8683
2004-06-10,6240,8631
2004-06-11,6040,8604
2004-06-14,5910,8429
2004-06-15,6150,8315
2004-06-16,6300,8525
2004-06-17,6200,8657
2004-06-18,6030,8569
2004-06-21,5900,8420
2004-06-22,5810,8306
2004-06-23,5660,8227
2004-06-24,5960,8096
2004-06-25,6050,8359
2004-06-28,5990,8438
2004-06-29,5980,8385
2004-06-30,6190,8376
2004-07-01,6150,8560
2004-07-02,6130,8525
2004-07-05,6410,8508
2004-07-06,6260,8753
2004-07-07,6140,8622
2004-07-08,6080,8517
2004-07-09,6210,8464
2004-07-12,6190,8578
2004-07-13,6020,8560
2004-07-14,6030,8411
2004-07-15,5990,8420
2004-07-16,5940,8385
2004-07-19,5860,8341
2004-07-20,5860,8271
2004-07-21,5920,8271
2004-07-22,5800,8324
2004-07-23,5710,8219
2004-07-26,5730,8140
2004-07-27,5850,8158
2004-07-28,5860,8262
2004-07-29,5930,8271
2004-07-30,5830,8333
2004-08-02,5860,8245
2004-08-03,5880,8271
2004-08-04,5870,8289
2004-08-05,5830,8280
2004-08-06,5700,8245
2004-08-09,5690,8131
2004-08-10,5680,8123
2004-08-11,5710,8114
2004-08-12,5760,8140
2004-08-13,6050,8184
2004-08-16,6010,8438
2004-08-17,5990,8403
2004-08-18,6020,8385
2004-08-19,6180,8411
2004-08-20,6050,8552
2004-08-23,5980,8438
2004-08-24,5990,8376
2004-08-25,6050,8385
2004-08-26,6080,8438
2004-08-27,6080,8464
2004-08-30,6000,8464
2004-08-31,6030,8394
2004-09-01,6200,8420
2004-09-02,6360,8569
2004-09-03,6450,8710
2004-09-06,6480,8789
2004-09-07,6260,8815
2004-09-08,6200,8622
2004-09-09,6140,8569
2004-09-10,6160,8517
2004-09-13,6560,8534
2004-09-14,6750,8885
2004-09-15,6650,9052
2004-09-16,6500,8964
