Date,Actual Closing Price,Forecast Closing Price
2010-08-02,73267,148364
2010-08-03,73427,142184
2010-08-04,73427,142322
2010-08-05,70849,142322
2010-08-06,77374,140101
2010-08-09,78097,145725
2010-08-10,77614,146349
2010-08-11,77614,145932
2010-08-12,75682,145932
2010-08-13,74314,144266
2010-08-16,78097,143087
2010-08-17,78902,146349
2010-08-18,82123,147043
2010-08-19,80513,149823
2010-08-20,78260,148433
2010-08-23,80513,146489
2010-08-24,86956,148433
2010-08-25,86150,153997
2010-08-26,85746,153300
2010-08-27,85746,152951
2010-08-30,86552,152951
2010-08-31,88565,153648
2010-09-01,92993,155387
2010-09-02,92993,159216
2010-09-03,92993,159216
2010-09-06,89774,159216
2010-09-07,89774,156432
2010-09-08,89774,156432
2010-09-09,90980,156432
2010-09-10,89774,157475
2010-09-13,87760,156432
2010-09-14,86150,154692
2010-09-15,83735,153300
2010-09-16,90579,151215
2010-09-17,95410,157128
2010-09-20,93395,161307
2010-09-24,92189,159564
2010-09-27,95812,158520
2010-09-28,94201,161655
2010-09-29,91785,160261
2010-09-30,92591,158171
2010-10-01,91785,158868
2010-10-04,88967,158171
2010-10-05,87760,155735
2010-10-06,89774,154692
2010-10-07,88565,156432
2010-10-08,87760,155387
2010-10-11,84942,154692
2010-10-12,88565,152257
2010-10-13,89774,155387
2010-10-14,87760,156432
2010-10-15,87357,154692
2010-10-18,88967,154343
2010-10-19,93395,155735
2010-10-20,91785,159564
2010-10-21,88565,158171
2010-10-22,86150,155387
2010-10-25,83735,153300
2010-10-26,83332,151215
2010-10-27,83735,150867
2010-10-28,79787,151215
2010-10-29,79709,147807
2010-11-01,79307,147739
2010-11-02,79307,147393
2010-11-03,79628,147393
2010-11-04,79144,147670
2010-11-05,78419,147252
2010-11-08,77293,146627
2010-11-09,77937,145655
2010-11-10,79709,146211
2010-11-11,77534,147739
2010-11-12,77293,145863
2010-11-15,76084,145655
2010-11-16,74877,144613
2010-11-17,73186,143572
2010-11-18,71335,142115
2010-11-19,72381,140520
2010-11-22,72300,141421
2010-11-23,71738,141351
2010-11-24,72864,140867
2010-11-25,74877,141837
2010-11-26,72944,143572
2010-11-29,73993,141906
2010-11-30,77051,142810
2010-12-01,77293,145447
2010-12-02,77534,145655
2010-12-03,75682,145863
2010-12-06,74877,144266
2010-12-07,73106,143572
2010-12-08,71013,142046
2010-12-09,70449,140242
2010-12-10,69724,139757
2010-12-13,70206,139132
2010-12-14,71816,139547
2010-12-15,71174,140934
2010-12-16,70849,140381
2010-12-17,70206,140101
2010-12-20,68678,139547
2010-12-21,69644,138232
2010-12-22,70691,139063
2010-12-23,70530,139965
2010-12-24,70128,139826
2010-12-27,71174,139480
2010-12-28,71979,140381
2010-12-29,70772,141075
2010-12-30,71496,140035
2011-01-03,71496,140659
2011-01-04,70530,140659
2011-01-05,68435,139826
2011-01-06,66906,138022
2011-01-07,66183,136706
2011-01-10,66664,136084
2011-01-11,66664,136498
2011-01-12,65537,136498
2011-01-13,64411,135528
2011-01-14,65134,134560
2011-01-17,66183,135181
2011-01-18,66342,136084
2011-01-19,65377,136221
2011-01-20,64411,135391
2011-01-21,64411,134560
2011-01-24,63443,134560
2011-01-25,62074,133727
2011-01-26,60303,132550
2011-01-27,61190,131027
2011-01-28,60947,131790
2011-01-31,59981,131581
2011-02-01,62800,130751
2011-02-07,65377,133174
2011-02-08,65377,135391
2011-02-09,65377,135391
2011-02-10,67390,135391
2011-02-11,66583,137123
2011-02-14,65779,136428
2011-02-15,64972,135736
2011-02-16,65215,135042
2011-02-17,65859,135251
2011-02-18,66504,135805
2011-02-21,66583,136360
2011-02-22,65779,136428
2011-02-23,66664,135736
2011-02-24,66424,136498
2011-02-25,65859,136291
2011-02-28,64411,135805
2011-03-02,63847,134560
2011-03-03,62718,134074
2011-03-04,64329,133103
2011-03-07,64006,134489
2011-03-08,64089,134211
2011-03-09,63604,134283
2011-03-10,62800,133865
2011-03-11,62236,133174
2011-03-14,61190,132689
2011-03-15,61108,131790
2011-03-16,61108,131719
2011-03-17,60062,131719
2011-03-18,60062,130820
2011-03-21,60626,130820
2011-03-22,61512,131305
2011-03-23,63685,132067
2011-03-24,63766,133935
2011-03-25,64812,134005
2011-03-28,64650,134904
2011-03-29,67147,134765
2011-03-30,69241,136914
2011-03-31,70449,138716
2011-04-01,69161,139757
2011-04-04,69885,138648
2011-04-05,70046,139271
2011-04-06,68034,139410
2011-04-07,67873,137677
2011-04-08,66664,137539
2011-04-11,66664,136498
2011-04-12,66583,136498
2011-04-13,65054,136428
2011-04-14,63685,135113
2011-04-15,63525,133935
2011-04-18,62236,133797
