Date,Actual Closing Price,Forecast Closing Price
2013-09-17,12667,16937
2013-09-23,11933,17664
2013-09-24,12520,16982
2013-09-25,13890,17527
2013-09-26,15944,18804
2013-09-27,17216,20728
2013-09-30,16629,21925
2013-10-01,15748,21372
2013-10-02,15895,20544
2013-10-04,14232,20682
2013-10-07,14526,19123
2013-10-08,14770,19398
2013-10-10,14868,19627
2013-10-11,14623,19718
2013-10-14,14037,19489
2013-10-15,14085,18941
2013-10-16,13939,18986
2013-10-17,13352,18850
2013-10-18,14085,18302
2013-10-21,14330,18986
2013-10-22,14477,19215
2013-10-23,14770,19352
2013-10-24,15064,19627
2013-10-25,15161,19902
2013-10-28,15406,19993
2013-10-29,15699,20223
2013-10-30,15455,20498
2013-10-31,13743,20269
2013-11-01,13939,18667
2013-11-04,13841,18850
2013-11-05,13499,18758
2013-11-06,13009,18439
2013-11-07,12716,17982
2013-11-08,12471,17709
2013-11-11,11982,17482
2013-11-12,12129,17027
2013-11-13,12325,17164
2013-11-14,12423,17346
2013-11-15,12325,17437
2013-11-18,11933,17346
2013-11-19,11933,16982
2013-11-20,13058,16982
2013-11-21,13596,18028
2013-11-22,13841,18529
2013-11-25,14085,18758
2013-11-26,14232,18986
2013-11-27,13939,19123
2013-11-28,13743,18850
2013-11-29,14085,18667
2013-12-02,15993,18986
2013-12-03,16140,20774
2013-12-04,16140,20912
2013-12-05,15553,20912
2013-12-06,16433,20361
2013-12-09,16188,21188
2013-12-10,15797,20957
2013-12-11,16335,20590
2013-12-12,15846,21095
2013-12-13,14477,20636
2013-12-16,14037,19352
2013-12-17,13890,18941
2013-12-18,15259,18804
2013-12-19,15406,20085
2013-12-20,15210,20223
2013-12-23,15553,20039
2013-12-24,15455,20361
2013-12-26,14917,20269
2013-12-27,15650,19764
2013-12-30,16042,20452
2014-01-02,16091,20820
2014-01-03,16433,20866
2014-01-06,16433,21188
2014-01-07,16873,21188
2014-01-08,18878,21602
2014-01-09,19954,23495
2014-01-10,20737,24516
2014-01-13,20150,25260
2014-01-14,20248,24702
2014-01-15,21030,24795
2014-01-16,20835,25538
2014-01-17,20492,25353
2014-01-20,20688,25027
2014-01-21,20052,25213
2014-01-22,21666,24609
2014-01-23,21666,26144
2014-01-24,22449,26144
2014-01-27,22008,26891
2014-01-28,21862,26470
2014-01-29,22742,26331
2014-02-03,22987,27171
2014-02-04,22057,27405
2014-02-05,21960,26517
2014-02-06,21471,26425
2014-02-07,21715,25958
2014-02-10,21715,26191
2014-02-11,20199,26191
2014-02-12,20443,24748
2014-02-13,20346,24980
2014-02-14,20443,24888
2014-02-17,21911,24980
2014-02-18,21715,26378
2014-02-19,22400,26191
2014-02-20,21911,26844
2014-02-21,22204,26378
2014-02-24,21275,26657
2014-02-25,20884,25772
2014-02-26,20688,25399
2014-02-27,20199,25213
2014-02-28,20248,24748
2014-03-03,19612,24795
2014-03-04,20248,24191
2014-03-05,20492,24795
2014-03-06,20688,25027
2014-03-07,20835,25213
2014-03-10,20199,25353
2014-03-11,20101,24748
2014-03-12,21422,24655
2014-03-13,22498,25912
2014-03-14,22204,26938
2014-03-17,23036,26657
2014-03-18,23036,27452
2014-03-19,23720,27452
2014-03-20,23769,28106
2014-03-21,24552,28153
2014-03-24,23084,28904
2014-03-25,22742,27498
2014-03-26,23231,27171
2014-03-27,23036,27639
2014-03-28,23329,27452
2014-03-31,22987,27732
2014-04-01,22938,27405
2014-04-02,24698,27358
2014-04-03,24552,29044
2014-04-04,24943,28904
2014-04-07,24356,29279
2014-04-08,24454,28716
2014-04-09,24454,28810
2014-04-10,23720,28810
2014-04-11,23574,28106
2014-04-14,24307,27967
2014-04-15,24160,28669
2014-04-16,24454,28528
2014-04-17,24503,28810
2014-04-18,24503,28857
2014-04-21,24405,28857
2014-04-22,24160,28763
2014-04-23,23182,28528
2014-04-24,23133,27592
2014-04-25,22498,27545
2014-04-28,21862,26938
2014-04-29,21666,26331
2014-04-30,21617,26144
2014-05-02,21862,26098
2014-05-07,21960,26331
2014-05-08,21519,26425
2014-05-09,21617,26004
2014-05-12,21324,26098
2014-05-13,21324,25818
2014-05-14,21079,25818
2014-05-15,21666,25585
2014-05-16,21617,26144
2014-05-19,21079,26098
2014-05-20,23231,25585
2014-05-21,23378,27639
2014-05-22,23427,27779
2014-05-23,23622,27826
2014-05-26,23622,28013
2014-05-27,23671,28013
2014-05-28,24405,28060
2014-05-29,23965,28763
2014-05-30,24601,28341
2014-06-02,26117,28951
2014-06-03,26508,30406
2014-06-05,26704,30783
2014-06-09,26606,30971
2014-06-10,26117,30877
2014-06-11,26166,30406
2014-06-12,26263,30454
2014-06-13,26263,30547
2014-06-16,25334,30547
2014-06-17,25236,29654
2014-06-18,24747,29560
2014-06-19,25236,29091
2014-06-20,24894,29560
2014-06-23,23965,29232
2014-06-24,24258,28341
2014-06-25,23133,28622
2014-06-26,23280,27545
2014-06-27,23916,27685
2014-06-30,23622,28294
2014-07-01,23427,28013
2014-07-02,24503,27826
2014-07-03,25677,28857
2014-07-04,25823,29984
2014-07-07,26263,30124
2014-07-08,26263,30547
2014-07-09,25530,30547
2014-07-10,25285,29842
2014-07-11,25725,29607
2014-07-14,25530,30030
2014-07-15,25677,29842
2014-07-16,25725,29984
2014-07-17,25236,30030
2014-07-18,25432,29560
2014-07-21,25774,29748
2014-07-22,26704,30077
2014-07-23,26801,30971
2014-07-24,26166,31065
2014-07-25,26019,30454
2014-07-28,26019,30312
2014-07-29,26166,30312
2014-07-30,24845,30454
2014-07-31,25628,29185
2014-08-01,25383,29936
2014-08-04,25579,29701
2014-08-05,25188,29889
2014-08-06,24894,29514
2014-08-07,24258,29232
2014-08-08,23769,28622
2014-08-11,23329,28153
2014-08-12,23133,27732
2014-08-13,22987,27545
2014-08-14,23231,27405
2014-08-18,23622,27639
2014-08-19,23720,28013
2014-08-20,24503,28106
2014-08-21,24503,28857
2014-08-22,24552,28857
2014-08-25,24943,28904
2014-08-26,24405,29279
2014-08-27,24307,28763
2014-08-28,25285,28669
2014-08-29,25432,29607
2014-09-01,25188,29748
2014-09-02,25236,29514
2014-09-03,26215,29560
2014-09-04,26410,30501
2014-09-05,26263,30688
2014-09-11,26019,30547
2014-09-12,25432,30312
2014-09-15,25579,29748
2014-09-16,24992,29889
2014-09-17,25970,29326
2014-09-18,25774,30265
2014-09-19,28220,30077
2014-09-22,28024,32432
2014-09-23,27731,32243
2014-09-24,26508,31961
2014-09-25,25628,30783
2014-09-26,24405,29936
2014-09-29,24943,28763
2014-09-30,25334,29279
2014-10-01,24943,29654
2014-10-02,24552,29279
2014-10-06,23720,28904
2014-10-07,23769,28106
2014-10-08,23769,28153
2014-10-10,22889,28153
2014-10-13,23133,27312
2014-10-14,23084,27545
2014-10-15,24650,27498
2014-10-16,24747,28998
2014-10-17,24307,29091
2014-10-20,24258,28669
2014-10-21,24698,28622
2014-10-22,24650,29044
