Date,Actual Closing Price,Forecast Closing Price
1990-01-04,45500,47756
1990-01-05,44500,47756
1990-01-06,44500,46848
1990-01-08,43900,46848
1990-01-09,44000,46301
1990-01-10,44100,46392
1990-01-11,43800,46483
1990-01-12,43500,46209
1990-01-13,43400,45934
1990-01-15,42900,45842
1990-01-16,42200,45383
1990-01-17,41800,44737
1990-01-18,41700,44367
1990-01-19,41200,44274
1990-01-20,41600,43810
1990-01-22,42600,44181
1990-01-23,43000,45107
1990-01-24,44000,45475
1990-01-25,44500,46392
1990-01-29,43700,46848
1990-01-30,43000,46117
1990-01-31,43000,45475
1990-02-01,42200,45475
1990-02-02,41800,44737
1990-02-03,41600,44367
1990-02-05,42000,44181
1990-02-06,43600,44552
1990-02-07,43000,46026
1990-02-08,43600,45475
1990-02-09,43200,46026
1990-02-10,42700,45659
1990-02-12,42800,45199
1990-02-13,42800,45291
1990-02-14,43000,45291
1990-02-15,44600,45475
1990-02-16,44600,46939
1990-02-17,44100,46939
1990-02-19,44500,46483
1990-02-20,44300,46848
1990-02-21,44100,46666
1990-02-22,44300,46483
1990-02-23,44200,46666
1990-02-24,44000,46575
1990-02-26,43300,46392
1990-02-27,44000,45751
1990-02-28,43500,46392
1990-03-02,19906,45934
1990-03-03,19724,22884
1990-03-05,19724,22697
1990-03-06,19679,22697
1990-03-07,19498,22650
1990-03-08,19407,22464
1990-03-09,19407,22371
1990-03-12,19316,22371
1990-03-13,19135,22277
1990-03-14,19316,22091
1990-03-15,19271,22277
1990-03-16,19498,22231
1990-03-17,19407,22464
1990-03-19,19588,22371
1990-03-20,20042,22557
1990-03-21,20042,23023
1990-03-22,20223,23023
1990-03-23,20087,23209
1990-03-24,20042,23069
1990-03-26,20087,23023
1990-03-27,20132,23069
1990-03-28,20042,23116
1990-03-29,20132,23023
1990-03-30,20767,23116
1990-03-31,20767,23767
1990-04-02,20677,23767
1990-04-03,20677,23674
1990-04-04,20359,23674
1990-04-06,20087,23349
1990-04-07,20087,23069
1990-04-09,19996,23069
1990-04-10,19860,22976
1990-04-11,20042,22836
1990-04-12,19951,23023
1990-04-13,19951,22930
1990-04-14,19724,22930
1990-04-16,19271,22697
1990-04-17,19271,22231
1990-04-18,19271,22231
1990-04-19,18954,22231
1990-04-20,18319,21904
1990-04-21,19044,21250
1990-04-23,18908,21997
1990-04-24,18908,21857
1990-04-25,18545,21857
1990-04-26,17820,21483
1990-04-27,18137,20734
1990-04-28,17548,21062
1990-04-30,16958,20453
1990-05-01,17548,19842
1990-05-03,18137,20453
1990-05-04,18817,21062
1990-05-07,18591,21763
1990-05-08,18228,21530
1990-05-09,18319,21156
1990-05-10,18228,21250
1990-05-11,17684,21156
1990-05-12,17775,20593
1990-05-14,17276,20688
1990-05-15,17049,20171
1990-05-16,17639,19936
1990-05-17,18137,20547
1990-05-18,18591,21062
1990-05-19,19044,21530
1990-05-21,19044,21997
1990-05-22,18817,21997
1990-05-23,18863,21763
1990-05-24,18772,21811
1990-05-25,18817,21717
1990-05-26,18954,21763
1990-05-28,18636,21904
1990-05-29,18817,21577
1990-05-30,18954,21763
1990-05-31,18908,21904
1990-06-01,19634,21857
1990-06-02,20268,22604
1990-06-04,20087,23255
1990-06-05,19906,23069
1990-06-07,19634,22884
1990-06-08,19180,22604
1990-06-09,19044,22137
1990-06-11,18681,21997
1990-06-12,18636,21623
1990-06-13,18591,21577
1990-06-14,18591,21530
1990-06-15,18681,21530
1990-06-16,18681,21623
1990-06-18,18364,21623
1990-06-19,17911,21296
1990-06-20,17911,20828
1990-06-21,17956,20828
1990-06-22,18047,20875
1990-06-23,18273,20969
1990-06-25,18319,21202
1990-06-26,18092,21250
1990-06-27,18228,21015
1990-06-28,18092,21156
1990-06-29,18047,21015
1990-06-30,17684,20969
1990-07-02,17820,20593
1990-07-03,18409,20734
1990-07-04,18137,21342
1990-07-05,18137,21062
1990-07-06,18137,21062
1990-07-07,18137,21062
1990-07-09,17911,21062
1990-07-10,17911,20828
1990-07-11,17457,20828
1990-07-12,17503,20359
