Date,Actual Closing Price,Forecast Closing Price
2001-02-05,1776,3255
2001-02-06,1994,3243
2001-02-07,1807,3473
2001-02-08,1719,3276
2001-02-09,1696,3183
2001-02-12,1603,3159
2001-02-13,1457,3061
2001-02-14,1448,2907
2001-02-15,1399,2898
2001-02-16,1372,2846
2001-02-19,1361,2818
2001-02-20,1563,2806
2001-02-21,1425,3019
2001-02-22,1488,2874
2001-02-23,1461,2940
2001-02-26,1472,2912
2001-02-27,1421,2923
2001-02-28,1465,2870
2001-03-02,1430,2916
2001-03-05,1457,2879
2001-03-06,1514,2907
2001-03-07,1483,2967
2001-03-08,1492,2935
2001-03-09,1541,2944
2001-03-12,1483,2996
2001-03-13,1443,2935
2001-03-14,1470,2893
2001-03-15,1467,2921
2001-03-16,1472,2918
2001-03-19,1492,2923
2001-03-20,1532,2944
2001-03-21,1583,2986
2001-03-22,1818,3040
2001-03-23,1763,3288
2001-03-26,1879,3230
2001-03-27,2052,3352
2001-03-28,1969,3534
2001-03-29,2109,3447
2001-03-30,2185,3594
2001-04-02,2176,3674
2001-04-03,2127,3665
2001-04-04,2021,3613
2001-04-06,2323,3501
2001-04-09,2492,3820
2001-04-10,2447,3998
2001-04-11,2465,3951
2001-04-12,2585,3970
2001-04-13,2567,4096
2001-04-16,2531,4077
2001-04-17,2465,4039
2001-04-18,2465,3970
2001-04-19,2447,3970
2001-04-20,2389,3951
2001-04-23,2394,3890
2001-04-24,2420,3895
2001-04-25,2407,3922
2001-04-26,2416,3909
2001-04-27,2665,3918
2001-04-30,2665,4181
2001-05-02,2718,4181
2001-05-03,2798,4237
2001-05-04,2723,4321
2001-05-07,2767,4242
2001-05-08,2767,4289
2001-05-09,2598,4289
2001-05-10,2678,4110
2001-05-11,2718,4195
2001-05-14,2714,4237
2001-05-15,2714,4233
2001-05-16,2625,4233
2001-05-17,2598,4139
2001-05-18,2731,4110
2001-05-21,3140,4251
2001-05-22,3065,4683
2001-05-23,3029,4604
2001-05-24,2962,4566
2001-05-25,2931,4495
2001-05-28,2900,4462
2001-05-29,2976,4429
2001-05-30,3109,4510
2001-05-31,3158,4650
2001-06-01,3087,4702
2001-06-04,3029,4627
2001-06-05,3029,4566
2001-06-07,3287,4566
2001-06-08,3780,4838
2001-06-11,3686,5360
2001-06-12,3527,5261
2001-06-13,3686,5092
2001-06-14,3722,5261
2001-06-15,3846,5299
2001-06-18,3949,5430
2001-06-19,3855,5539
2001-06-20,3735,5439
2001-06-21,3620,5312
2001-06-22,3775,5191
2001-06-25,3997,5355
2001-06-26,3686,5590
2001-06-27,3375,5261
2001-06-28,3442,4931
2001-06-29,3540,5002
2001-07-02,3633,5106
2001-07-03,3584,5204
2001-07-04,3655,5153
2001-07-05,3566,5228
2001-07-06,3491,5134
2001-07-09,3287,5054
2001-07-10,3331,4838
2001-07-11,3415,4885
2001-07-12,3464,4974
2001-07-13,3451,5026
2001-07-16,3451,5012
2001-07-18,3442,5012
2001-07-19,3313,5002
2001-07-20,3198,4866
2001-07-23,2834,4744
2001-07-24,2989,4359
2001-07-25,2976,4523
2001-07-26,3109,4510
2001-07-27,3073,4650
2001-07-30,3038,4612
2001-07-31,3100,4575
2001-08-01,3238,4641
2001-08-02,3153,4787
2001-08-03,3113,4697
2001-08-06,3122,4654
2001-08-07,3153,4664
2001-08-08,3131,4697
2001-08-09,3122,4673
2001-08-10,3091,4664
2001-08-13,3233,4631
2001-08-14,3238,4781
2001-08-16,3109,4787
2001-08-17,3029,4650
2001-08-20,2949,4566
2001-08-21,3016,4481
2001-08-22,2860,4552
2001-08-23,2740,4387
2001-08-24,2603,4260
2001-08-27,2674,4115
2001-08-28,2598,4190
2001-08-29,2261,4110
2001-08-30,2323,3755
2001-08-31,2429,3820
2001-09-03,2505,3932
2001-09-04,2531,4012
2001-09-05,2434,4039
2001-09-06,2523,3937
2001-09-07,2678,4031
2001-09-10,2749,4195
2001-09-11,2558,4270
2001-09-12,2176,4068
2001-09-13,2363,3665
2001-09-14,2147,3862
2001-09-17,2096,3634
2001-09-18,2234,3580
2001-09-19,2243,3726
2001-09-20,2154,3736
2001-09-21,2198,3642
2001-09-24,2238,3688
2001-09-25,2221,3730
2001-09-26,2265,3712
2001-09-27,2398,3759
2001-09-28,2571,3899
2001-10-04,2665,4082
2001-10-05,2643,4181
2001-10-08,2611,4158
2001-10-09,2620,4124
2001-10-10,2594,4133
2001-10-11,2660,4106
2001-10-12,2629,4176
2001-10-15,2611,4143
2001-10-16,2629,4124
2001-10-17,2731,4143
2001-10-18,2705,4251
2001-10-19,2798,4223
2001-10-22,2865,4321
2001-10-23,2847,4392
2001-10-24,2856,4373
2001-10-25,2802,4383
2001-10-26,2740,4326
2001-10-29,2740,4260
2001-10-30,2687,4260
2001-10-31,2798,4204
2001-11-01,2842,4321
2001-11-02,2931,4368
2001-11-05,2958,4462
2001-11-06,2914,4491
2001-11-07,2887,4444
2001-11-08,2882,4415
2001-11-09,2820,4410
2001-11-12,2900,4345
2001-11-13,2887,4429
2001-11-14,2998,4415
2001-11-15,3016,4533
2001-11-16,3020,4552
2001-11-19,3025,4556
2001-11-20,3029,4561
2001-11-21,3109,4566
2001-11-22,3087,4650
2001-11-23,3033,4627
2001-11-26,3087,4570
2001-11-27,3056,4627
2001-11-28,2887,4594
2001-11-29,3011,4415
2001-11-30,3020,4547
2001-12-03,2953,4556
2001-12-04,2834,4485
2001-12-05,2740,4359
2001-12-06,2638,4260
2001-12-07,2723,4152
2001-12-10,2554,4242
2001-12-11,2407,4064
2001-12-12,2443,3909
2001-12-13,2554,3947
2001-12-14,2611,4064
2001-12-17,2536,4124
2001-12-18,2492,4045
2001-12-19,2492,3998
2001-12-20,2616,3998
2001-12-21,2603,4129
2001-12-24,2620,4115
2001-12-26,2580,4133
2001-12-27,2625,4091
2001-12-28,2820,4139
2002-01-02,2780,4345
2002-01-03,2651,4302
2002-01-04,2687,4166
2002-01-07,2687,4204
2002-01-08,2643,4204
2002-01-09,2620,4158
2002-01-10,2598,4133
2002-01-11,2554,4110
2002-01-14,2576,4064
2002-01-15,2620,4087
2002-01-16,2536,4133
2002-01-17,2611,4045
2002-01-18,2714,4124
2002-01-21,2731,4233
2002-01-22,2687,4251
2002-01-23,2874,4204
2002-01-24,3149,4402
2002-01-25,3176,4692
2002-01-28,3264,4721
2002-01-29,3233,4814
2002-01-30,3176,4781
2002-01-31,3224,4721
2002-02-01,3202,4772
2002-02-04,3287,4748
2002-02-05,3349,4838
2002-02-06,3367,4904
2002-02-07,3331,4923
2002-02-08,3509,4885
2002-02-14,3713,5073
2002-02-15,3664,5289
2002-02-18,3731,5237
2002-02-19,3624,5308
