Date,Actual Closing Price,Forecast Closing Price
1990-01-04,1221050,976098
1990-01-05,1244837,1002468
1990-01-06,1228980,1018013
1990-01-08,1252766,1007674
1990-01-09,1240872,1023148
1990-01-10,1232944,1015436
1990-01-11,1232944,1010267
1990-01-12,1236908,1010267
1990-01-13,1228980,1012855
1990-01-15,1205192,1007674
1990-01-16,1205192,991989
1990-01-17,1189335,991989
1990-01-18,1185370,981418
1990-01-19,1173477,978761
1990-01-20,1201229,970755
1990-01-22,1232944,989356
1990-01-23,1232944,1010267
1990-01-24,1248801,1010267
1990-01-25,1232944,1020583
1990-01-29,1217086,1010267
1990-01-30,1205192,999858
1990-01-31,1197264,991989
1990-02-01,1185370,986715
1990-02-02,1177441,978761
1990-02-03,1185370,973429
1990-02-05,1185370,978761
1990-02-06,1217086,978761
1990-02-07,1201229,999858
1990-02-08,1205192,989356
1990-02-09,1189335,991989
1990-02-10,1189335,981418
1990-02-12,1185370,981418
1990-02-13,1177441,978761
1990-02-14,1189335,973429
1990-02-15,1197264,981418
1990-02-16,1193299,986715
1990-02-17,1185370,984069
1990-02-19,1177441,978761
1990-02-20,1177441,973429
1990-02-21,1177441,973429
1990-02-22,1189335,973429
1990-02-23,1177441,981418
1990-02-24,1177441,973429
1990-02-26,1149690,973429
1990-02-27,1189335,954590
1990-02-28,1177441,981418
1990-03-02,1201228,973429
1990-03-03,1205192,989355
1990-03-05,1185370,991989
1990-03-06,1181406,978761
1990-03-07,1165548,976098
1990-03-08,1169513,965389
1990-03-09,1173476,968075
1990-03-12,1173476,970754
1990-03-13,1177441,970754
1990-03-14,1165548,973429
1990-03-15,1161584,965389
1990-03-16,1169513,962698
1990-03-17,1173476,968075
1990-03-19,1177441,970754
1990-03-20,1181406,973429
1990-03-21,1173476,976098
1990-03-22,1169513,970754
1990-03-23,1161584,968075
1990-03-24,1161584,962698
1990-03-26,1161584,962698
1990-03-27,1153655,962698
1990-03-28,1141761,957298
1990-03-29,1145725,949156
1990-03-30,1185370,951875
1990-03-31,1181406,978761
1990-04-02,1189335,976098
1990-04-03,1185370,981418
1990-04-04,1165548,978761
1990-04-06,1153655,965389
1990-04-07,1145725,957298
1990-04-09,1149690,951875
1990-04-10,1149690,954590
1990-04-11,1149690,954590
1990-04-12,1133833,954590
1990-04-13,1125904,943701
1990-04-14,1110045,938223
1990-04-16,1082294,927199
1990-04-17,1114010,907698
1990-04-18,1082294,929964
1990-04-19,1062472,907698
1990-04-20,1058508,893605
1990-04-21,1066437,890771
1990-04-23,1058508,896435
1990-04-24,1046614,890771
1990-04-25,1014899,882234
1990-04-26,975255,859240
1990-04-27,999041,830029
1990-04-28,959397,847617
1990-04-30,919752,818203
1990-05-01,959397,788289
1990-05-03,999041,818203
1990-05-04,1038686,847617
1990-05-07,1042651,876518
1990-05-08,1054543,879380
1990-05-09,1050579,887931
1990-05-10,1018863,885086
1990-05-11,995077,862132
1990-05-12,979219,844699
1990-05-14,963361,832973
1990-05-15,951467,821167
1990-05-16,991112,812259
1990-05-17,1014899,841775
1990-05-18,999041,859240
1990-05-19,1010935,847617
1990-05-21,1022828,856342
1990-05-22,1026792,865020
1990-05-23,1026792,867902
1990-05-24,1018863,867902
1990-05-25,1022828,862132
1990-05-26,1014899,865020
1990-05-28,1006970,859240
1990-05-29,1046614,853439
1990-05-30,1086259,882234
1990-05-31,1125904,910500
1990-06-01,1117974,938223
1990-06-02,1117974,932722
1990-06-04,1141761,932722
1990-06-05,1121939,949156
1990-06-07,1117974,935475
1990-06-08,1117974,932722
1990-06-09,1106082,932722
1990-06-11,1086259,924431
1990-06-12,1074366,910500
1990-06-13,1066437,902077
1990-06-14,1054543,896435
1990-06-15,1062472,887931
1990-06-16,1066437,893605
1990-06-18,1038686,896435
1990-06-19,1030757,876518
1990-06-20,1014899,870780
1990-06-21,1018863,859240
1990-06-22,1030757,862132
1990-06-23,1034721,870780
1990-06-25,1022828,873651
1990-06-26,1018863,865020
1990-06-27,1026792,862132
1990-06-28,1022828,867902
1990-06-29,999041,865020
1990-06-30,983183,847617
1990-07-02,991112,835912
1990-07-03,1030757,841775
1990-07-04,1022828,870780
1990-07-05,1003006,865020
1990-07-06,999041,850531
1990-07-07,999041,847617
1990-07-09,999041,847617
1990-07-10,999041,847617
1990-07-11,987148,847617
1990-07-12,967326,838846
1990-07-13,951467,824126
1990-07-14,955432,812259
1990-07-16,943539,815233
1990-07-18,963361,806296
1990-07-19,967326,821167
1990-07-20,963361,824126
1990-07-21,955432,821167
1990-07-23,943539,815233
1990-07-24,935610,806296
1990-07-25,943539,800313
1990-07-26,931645,806296
1990-07-27,919752,797314
1990-07-28,931645,788289
1990-07-30,923716,797314
1990-07-31,927681,791302
1990-08-01,939575,794311
1990-08-02,935610,803308
1990-08-03,915787,800313
1990-08-04,903894,785270
1990-08-06,872179,776187
1990-08-07,848392,751757
1990-08-08,812712,733238
1990-08-09,784961,705157
1990-08-10,808748,683072
1990-08-11,804783,702016
1990-08-13,769103,698869
1990-08-14,737387,670359
1990-08-16,705672,644734
1990-08-17,701707,618856
1990-08-18,697743,615603
1990-08-20,666027,612348
1990-08-21,634312,586166
1990-08-22,602596,559757
1990-08-23,570880,533129
1990-08-24,574845,506295
1990-08-25,598631,509661
1990-08-27,630347,529785
1990-08-28,662063,556439
1990-08-29,693778,582878
1990-08-30,705672,609088
1990-08-31,673956,618856
1990-09-01,689815,592734
1990-09-03,721530,605826
1990-09-04,741352,631827
1990-09-05,729458,647952
1990-09-06,705672,638288
1990-09-07,693778,618856
1990-09-08,693778,609088
1990-09-10,697743,609088
1990-09-11,705672,612348
1990-09-12,701707,618856
1990-09-13,685850,615603
1990-09-14,662063,602558
1990-09-15,638276,582878
1990-09-17,606561,563070
1990-09-18,638276,536469
1990-09-19,658099,563070
1990-09-20,650170,579586
1990-09-21,654134,572990
1990-09-22,662063,576289
1990-09-24,654134,582878
1990-09-25,658099,576289
1990-09-26,646205,579586
1990-09-27,638276,569686
1990-09-28,646205,563070
1990-09-29,646205,569686
1990-10-05,677921,569686
1990-10-06,677921,596012
1990-10-08,669992,596012
1990-10-10,701707,589452
1990-10-11,733423,615603
1990-10-12,765138,641513
1990-10-13,753246,667169
1990-10-15,784961,657580
1990-10-16,780997,683072
1990-10-17,808748,679901
1990-10-18,820640,702016
1990-10-19,860285,711428
1990-10-20,860285,742518
1990-10-22,899930,742518
1990-10-23,939575,773150
1990-10-24,979219,803308
1990-10-25,939575,832973
1990-10-26,899930,803308
1990-10-27,888036,773150
1990-10-29,888036,764009
1990-10-30,872179,764009
1990-10-31,832534,751757
1990-11-01,872179,720802
1990-11-02,856321,751757
1990-11-03,848392,739429
1990-11-05,832534,733238
1990-11-06,860285,720802
1990-11-07,876143,742518
1990-11-08,840463,754827
1990-11-09,856321,727029
1990-11-10,848392,739429
1990-11-12,852356,733238
1990-11-13,872179,736336
