Date,Actual Closing Price,Forecast Closing Price
1990-01-04,33700,114559
1990-01-05,32800,114327
1990-01-06,32500,113911
1990-01-08,32600,113773
1990-01-09,32600,113819
1990-01-10,32100,113819
1990-01-11,32400,113589
1990-01-12,32500,113727
1990-01-13,32300,113773
1990-01-15,31700,113681
1990-01-16,31300,113405
1990-01-17,30800,113221
1990-01-18,30700,112992
1990-01-19,30500,112946
1990-01-20,30600,112855
1990-01-22,31900,112900
1990-01-23,33100,113497
1990-01-24,34200,114050
1990-01-25,33900,114559
1990-01-29,33700,114420
1990-01-30,33500,114327
1990-01-31,34000,114235
1990-02-01,33400,114466
1990-02-02,32800,114188
1990-02-03,32500,113911
1990-02-05,32100,113773
1990-02-06,33400,113589
1990-02-07,33300,114188
1990-02-08,33600,114142
1990-02-09,33100,114281
1990-02-10,33200,114050
1990-02-12,33000,114096
1990-02-13,33300,114004
1990-02-14,33800,114142
1990-02-15,33800,114374
1990-02-16,33800,114374
1990-02-17,34000,114374
1990-02-19,33900,114466
1990-02-20,33700,114420
1990-02-21,33300,114327
1990-02-22,33600,114142
1990-02-23,33700,114281
1990-02-24,33700,114327
1990-02-26,33300,114327
1990-02-27,34000,114142
1990-02-28,33300,114466
1990-03-02,14767,114142
1990-03-03,14680,105868
1990-03-05,14548,105831
1990-03-06,14417,105774
1990-03-07,14417,105717
1990-03-08,14373,105717
1990-03-09,14548,105698
1990-03-12,14548,105774
1990-03-13,14373,105774
1990-03-14,14329,105698
1990-03-15,14461,105679
1990-03-16,14680,105736
1990-03-17,14636,105831
1990-03-19,14767,105812
1990-03-20,15249,105868
1990-03-21,15425,106076
1990-03-22,15688,106152
1990-03-23,15556,106266
1990-03-24,15688,106209
1990-03-26,15731,106266
1990-03-27,15950,106284
1990-03-28,15863,106379
1990-03-29,16038,106342
1990-03-30,16520,106417
1990-03-31,16871,106626
1990-04-02,16608,106779
1990-04-03,16520,106664
1990-04-04,16301,106626
1990-04-06,15994,106531
1990-04-07,16126,106398
1990-04-09,16213,106455
1990-04-10,16170,106493
1990-04-11,16301,106474
1990-04-12,16345,106531
1990-04-13,16389,106550
1990-04-14,16170,106569
1990-04-16,15950,106474
1990-04-17,15863,106379
1990-04-18,15600,106342
1990-04-19,15337,106228
1990-04-20,14986,106114
1990-04-21,15381,105962
1990-04-23,15118,106133
1990-04-24,15556,106019
1990-04-25,15162,106209
1990-04-26,14636,106038
1990-04-27,15118,105812
1990-04-28,14548,106019
1990-04-30,13978,105774
1990-05-01,14548,105528
1990-05-03,15118,105774
1990-05-04,15644,106019
1990-05-07,15425,106247
1990-05-08,15381,106152
1990-05-09,15337,106133
1990-05-10,15249,106114
1990-05-11,14899,106076
1990-05-12,14680,105925
1990-05-14,14461,105831
1990-05-15,14110,105736
1990-05-16,14680,105585
1990-05-17,15030,105831
1990-05-18,15118,105981
1990-05-19,15118,106019
1990-05-21,14986,106019
1990-05-22,15030,105962
1990-05-23,15118,105981
1990-05-24,15118,106019
1990-05-25,15205,106019
1990-05-26,15030,106057
1990-05-28,15030,105981
1990-05-29,14986,105981
1990-05-30,15118,105962
1990-05-31,15205,106019
1990-06-01,15775,106057
1990-06-02,15863,106303
1990-06-04,15819,106342
1990-06-05,15600,106322
1990-06-07,15425,106228
1990-06-08,15468,106152
1990-06-09,15556,106171
1990-06-11,15381,106209
1990-06-12,15249,106133
1990-06-13,15249,106076
1990-06-14,15249,106076
1990-06-15,15337,106076
1990-06-16,15293,106114
1990-06-18,15118,106095
1990-06-19,14943,106019
1990-06-20,14943,105944
1990-06-21,15118,105944
1990-06-22,15249,106019
1990-06-23,15293,106076
1990-06-25,15118,106095
1990-06-26,14943,106019
1990-06-27,14855,105944
1990-06-28,14899,105906
1990-06-29,14767,105925
1990-06-30,14723,105868
1990-07-02,14855,105849
1990-07-03,15425,105906
1990-07-04,14899,106152
1990-07-05,14504,105925
1990-07-06,14548,105755
1990-07-07,14592,105774
1990-07-09,14680,105793
1990-07-10,14767,105831
1990-07-11,14548,105868
1990-07-12,14592,105774
1990-07-13,14417,105793
1990-07-14,14417,105717
1990-07-16,14241,105717
1990-07-18,14329,105641
1990-07-19,14110,105679
1990-07-20,14154,105585
1990-07-21,14022,105604
1990-07-23,13803,105547
1990-07-24,13847,105453
1990-07-25,13935,105472
1990-07-26,13628,105510
1990-07-27,13540,105378
1990-07-28,13496,105340
1990-07-30,13409,105321
1990-07-31,13496,105284
1990-08-01,13935,105321
1990-08-02,13935,105510
1990-08-03,13409,105510
1990-08-04,13146,105284
1990-08-06,13146,105171
1990-08-07,13102,105171
1990-08-08,13014,105152
1990-08-09,13014,105115
1990-08-10,12971,105115
1990-08-11,12971,105096
1990-08-13,12971,105096
1990-08-14,12971,105096
1990-08-16,12576,105096
1990-08-17,12620,104927
1990-08-18,12620,104946
1990-08-20,12620,104946
1990-08-21,12620,104946
1990-08-22,12620,104946
1990-08-23,12620,104946
1990-08-24,12620,104946
1990-08-25,12226,104946
1990-08-27,12664,104778
1990-08-28,13102,104965
1990-08-29,12795,105152
1990-08-30,12357,105021
1990-08-31,11919,104834
1990-09-01,11787,104646
1990-09-03,12226,104590
1990-09-04,11919,104778
1990-09-05,11700,104646
1990-09-06,11481,104553
1990-09-07,11481,104460
1990-09-08,11437,104460
1990-09-10,11262,104441
1990-09-11,11130,104367
1990-09-12,10999,104310
1990-09-13,10999,104255
1990-09-14,10911,104255
1990-09-15,10780,104217
1990-09-17,10341,104162
1990-09-18,10604,103975
1990-09-19,10604,104087
1990-09-20,10604,104087
1990-09-21,10604,104087
1990-09-22,10385,104087
1990-09-24,10429,103994
1990-09-25,10341,104012
1990-09-26,10166,103975
1990-09-27,10166,103901
1990-09-28,10341,103901
1990-09-29,10692,103975
1990-10-05,11130,104124
1990-10-06,11349,104310
1990-10-08,11568,104404
1990-10-10,11963,104497
1990-10-11,12094,104665
1990-10-12,11963,104721
1990-10-13,11963,104665
1990-10-15,12007,104665
1990-10-16,12007,104684
1990-10-17,11875,104684
1990-10-18,11744,104628
1990-10-19,12182,104572
1990-10-20,12050,104759
