한글 종목약명,단축코드,상장주식수,상장일,영문 종목명,주식종류,증권구분,,,,
삼성바이오로직스,207940,"71,174,000",2016/11/10,SAMSUNG BIOLOGICS,보통주,주권,,,,
삼성SDI,006400,"68,764,530",1979/02/27,"SAMSUNG SDI CO.,LTD.",보통주,주권,,,,
고려아연,010130,"20,908,588",1990/07/28,KoreaZinc,보통주,주권,,,,
LG화학,051910,"70,592,343",2001/04/25,"LGCHEM,LTD",보통주,주권,,,,
POSCO홀딩스,005490,"84,571,230",1988/06/10,POSCO Holdings Inc.,보통주,주권,,,,
LG에너지솔루션,373220,"234,000,000",2022/01/27,LG Energy Solution,보통주,주권,,,,
LG생활건강,051900,"15,618,197",2001/04/25,LG H&H,보통주,주권,,,,
한미약품,128940,"12,810,991",2010/07/30,HanmiPharm,보통주,주권,,,,
삼성화재,000810,"47,374,837",1975/06/30,SamsungFire&MarineInsurance,보통주,주권,,,,
포스코퓨처엠,003670,"77,463,220",2019/05/29,POSCO FUTURE M,보통주,주권,,,,
CJ제일제당,097950,"15,054,186",2007/09/28,CJ CheilJedang Corp,보통주,주권,,,,
현대모비스,012330,"93,655,094",1989/09/05,HyundaiMobis,보통주,주권,,,,
크래프톤,259960,"48,364,493",2021/08/10,KRAFTON,보통주,주권,,,,
현대차,005380,"211,531,506",1974/06/28,HyundaiMotor,보통주,주권,,,,
하이브,352820,"41,652,097",2020/10/15,HYBE,보통주,주권,,,,
한화에어로스페이스,012450,"50,630,000",1987/05/27,HANWHA AEROSPACE,보통주,주권,,,,
엔씨소프트,036570,"21,954,022",2003/05/22,NCsoftCorporation,보통주,주권,,,,
LG이노텍,011070,"23,667,107",2008/07/24,LG Innotek,보통주,주권,,,,
셀트리온,068270,"218,049,762",2018/02/09,Celltrion,보통주,주권,,,,
NAVER,035420,"162,408,594",2008/11/28,NAVER,보통주,주권,,,,
SK하이닉스,000660,"728,002,365",1996/12/26,SK hynix,보통주,주권,,,,
SK,034730,"73,198,329",2009/11/11,SK,보통주,주권,,,,
현대글로비스,086280,"37,500,000",2005/12/26,"HYUNDAIGLOVIS Co.,LTD",보통주,주권,,,,
삼성SDS,018260,"77,377,800",2014/11/14,"SAMSUNG SDS CO., LTD.",보통주,주권,,,,
삼성물산,028260,"185,591,670",2014/12/18,SAMSUNG C&T CORPORATION,보통주,주권,,,,
삼성전기,009150,"74,693,696",1979/02/27,SamsungElectroMechanics,보통주,주권,,,,
금호석유,011780,"28,547,679",1988/01/22,KumhoPetrochemical,보통주,주권,,,,
에코프로머티,450080,"68,985,218",2023/11/17,ECOPRO MATERIALS,보통주,주권,,,,
아모레퍼시픽,090430,"58,492,759",2006/06/29,AMOREPACIFIC CORPORATION,보통주,주권,,,,
롯데케미칼,011170,"42,775,419",1991/05/30,LOTTE CHEMICAL CORPORATION,보통주,주권,,,,
HD한국조선해양,009540,"70,773,116",1999/08/24,HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING,보통주,주권,,,,
HD현대중공업,329180,"88,773,116",2021/09/17,HD HYUNDAI HEAVY INDUSTRIES,보통주,주권,,,,
BGF리테일,282330,"17,283,906",2017/12/08,BGF Retail,보통주,주권,,,,
SK이노베이션,096770,"95,735,590",2007/07/25,SK Innovation,보통주,주권,,,,
금양,001570,"58,050,037",1976/12/17,Kumyang,보통주,주권,,,,
SKC,011790,"37,868,298",1997/07/18,SKC,보통주,주권,,,,
기아,000270,"402,044,203",1973/07/21,KIA CORPORATION,보통주,주권,,,,
LG전자,066570,"163,647,814",2002/04/22,LGELECTRONICS,보통주,주권,,,,
DB손해보험,005830,"70,800,000",1973/06/28,DB INSURANCE,보통주,주권,,,,
KT&G,033780,"130,322,497",1999/10/08,KT&G Corporation,보통주,주권,,,,
삼성생명,032830,"200,000,000",2010/05/12,Samsung Life Insurance,보통주,주권,,,,
SK바이오팜,326030,"78,313,250",2020/07/02,SK BIOPHARMACEUTICALS,보통주,주권,,,,
오리온,271560,"39,536,132",2017/07/07,ORION,보통주,주권,,,,
LG,003550,"157,300,993",1970/02/13,LG Corp.,보통주,주권,,,,
삼성전자,005930,"5,969,782,550",1975/06/11,SamsungElectronics,보통주,주권,,,,
메리츠금융지주,138040,"203,372,114",2011/05/13,Meritz Financial Group,보통주,주권,,,,
SK스퀘어,402340,"138,981,036",2021/11/29,SKSQUARE,보통주,주권,,,,
S-Oil,010950,"112,582,792",1987/05/27,S-OilCorporation,보통주,주권,,,,
유한양행,000100,"80,209,064",1962/11/01,Yuhan,보통주,주권,,,,
SK아이이테크놀로지,361610,"71,297,592",2021/05/11,SK ie technology,보통주,주권,,,,
HD현대,267250,"78,993,085",2017/05/10,HD HYUNDAI,보통주,주권,,,,
F&F,383220,"38,307,075",2021/05/21,F&F,보통주,주권,,,,
KB금융,105560,"403,511,072",2008/10/10,KB Financial Group,보통주,주권,,,,
이마트,139480,"27,875,819",2011/06/10,"E-MART Co., Ltd.",보통주,주권,,,,
한국금융지주,071050,"55,725,992",2003/07/21,KOREA INVESTMENT HOLDINGS,보통주,주권,,,,
넷마블,251270,"85,953,502",2017/05/12,Netmarble Corporation,보통주,주권,,,,
SK바이오사이언스,302440,"76,827,750",2021/03/18,SK BIOSCIENCE,보통주,주권,,,,
호텔신라,008770,"39,248,121",1991/03/12,HotelShilla,보통주,주권,,,,
한진칼,180640,"66,762,279",2013/09/16,HANJINKAL,보통주,주권,,,,
하나금융지주,086790,"292,356,598",2005/12/12,HanaFinancialGroupInc.,보통주,주권,,,,
코웨이,021240,"73,799,619",2001/08/07,COWAY,보통주,주권,,,,
